pid,name,create_time,cores,cpu_usage,status,nice,memory_usage,n_threads,username
307,loop4,2021-03-02 21:05:04,4,0.0,sleeping,-20,0,1,root
308,loop5,2021-03-02 21:05:04,4,0.0,sleeping,-20,0,1,root
320,loop6,2021-03-02 21:05:04,4,0.0,sleeping,-20,0,1,root
329,loop7,2021-03-02 21:05:04,4,0.0,sleeping,-20,0,1,root
339,loop8,2021-03-02 21:05:04,4,0.0,sleeping,-20,0,1,root
340,loop9,2021-03-02 21:05:04,4,0.0,sleeping,-20,0,1,root
341,loop10,2021-03-02 21:05:04,4,0.0,sleeping,-20,0,1,root
342,loop11,2021-03-02 21:05:04,4,0.0,sleeping,-20,0,1,root
343,loop12,2021-03-02 21:05:04,4,0.0,sleeping,-20,0,1,root
344,loop13,2021-03-02 21:05:04,4,0.0,sleeping,-20,0,1,root
355,loop15,2021-03-02 21:05:04,4,0.0,sleeping,-20,0,1,root
358,cfg80211,2021-03-02 21:05:04,4,0.0,idle,-20,0,1,root
364,loop16,2021-03-02 21:05:04,4,0.0,sleeping,-20,0,1,root
367,cryptd,2021-03-02 21:05:04,4,0.0,idle,-20,0,1,root
371,loop17,2021-03-02 21:05:04,4,0.0,sleeping,-20,0,1,root
378,loop18,2021-03-02 21:05:04,4,0.0,sleeping,-20,0,1,root
398,ath10k_wq,2021-03-02 21:05:04,4,0.0,idle,-20,0,1,root
399,ath10k_aux_wq,2021-03-02 21:05:04,4,0.0,idle,-20,0,1,root
402,ath10k_tx_compl,2021-03-02 21:05:04,4,0.0,idle,-20,0,1,root
409,loop19,2021-03-02 21:05:04,4,0.0,sleeping,-20,0,1,root
629,systemd-resolved,2021-03-02 21:05:05,4,0.0,sleeping,0,0,1,systemd-resolve
632,systemd-timesyncd,2021-03-02 21:05:05,4,0.0,sleeping,0,0,2,systemd-timesync
651,kmemstick,2021-03-02 21:05:05,4,0.0,idle,-20,0,1,root
713,accounts-daemon,2021-03-02 21:05:05,4,0.0,sleeping,0,0,3,root
714,acpid,2021-03-02 21:05:05,4,0.0,sleeping,0,0,1,root
717,avahi-daemon,2021-03-02 21:05:05,4,0.0,sleeping,0,0,1,avahi
719,bluetoothd,2021-03-02 21:05:05,4,0.0,sleeping,0,0,1,root
721,cron,2021-03-02 21:05:05,4,0.0,sleeping,0,0,1,root
724,dbus-daemon,2021-03-02 21:05:05,4,0.0,sleeping,0,0,1,messagebus
725,NetworkManager,2021-03-02 21:05:05,4,0.0,sleeping,0,0,3,root
734,irqbalance,2021-03-02 21:05:05,4,0.0,sleeping,0,0,2,root
735,networkd-dispat,2021-03-02 21:05:05,4,0.0,sleeping,0,0,1,root
738,polkitd,2021-03-02 21:05:05,4,0.0,sleeping,0,0,3,root
741,rsyslogd,2021-03-02 21:05:05,4,0.0,sleeping,0,0,4,syslog
747,switcheroo-control,2021-03-02 21:05:05,4,0.0,sleeping,0,0,3,root
752,systemd-logind,2021-03-02 21:05:05,4,0.0,sleeping,0,0,1,root
754,thermald,2021-03-02 21:05:05,4,0.0,sleeping,0,0,2,root
757,udisksd,2021-03-02 21:05:05,4,0.0,sleeping,0,0,5,root
768,avahi-daemon,2021-03-02 21:05:05,4,0.0,sleeping,0,0,1,avahi
806,dockerd,2021-03-02 21:05:06,4,0.0,sleeping,0,0,15,root
809,vnstatd,2021-03-02 21:05:06,4,0.0,sleeping,0,0,1,vnstat
812,ModemManager,2021-03-02 21:05:06,4,0.0,sleeping,0,0,3,root
840,gdm3,2021-03-02 21:05:06,4,0.0,sleeping,0,0,3,root
882,unattended-upgr,2021-03-02 21:05:06,4,0.0,sleeping,0,0,2,root
946,rtkit-daemon,2021-03-02 21:05:06,4,0.0,sleeping,1,0,3,rtkit
1064,upowerd,2021-03-02 21:05:06,4,0.0,sleeping,0,0,3,root
1318,containerd,2021-03-02 21:05:08,4,0.0,sleeping,0,0,15,root
1378,colord,2021-03-02 21:05:09,4,0.0,sleeping,0,0,3,colord
1417,none,2021-03-02 21:05:10,4,0.0,sleeping,0,0,1,root
1598,whoopsie,2021-03-02 21:05:12,4,0.0,sleeping,0,0,3,whoopsie
1604,kerneloops,2021-03-02 21:05:12,4,0.0,sleeping,0,0,1,kernoops
1610,kerneloops,2021-03-02 21:05:12,4,0.0,sleeping,0,0,1,kernoops
1637,gdm-session-worker,2021-03-02 21:06:21,4,0.0,sleeping,0,0,3,root
1649,systemd,2021-03-02 21:06:28,4,0.0,sleeping,0,2859008,1,ramos
1650,(sd-pam),2021-03-02 21:06:28,4,0.0,sleeping,0,0,1,ramos
1655,pulseaudio,2021-03-02 21:06:28,4,0.0,sleeping,-11,5574656,4,ramos
1657,tracker-miner-fs,2021-03-02 21:06:28,4,0.0,sleeping,19,174714880,6,ramos
1660,dbus-daemon,2021-03-02 21:06:28,4,0.0,sleeping,0,2990080,1,ramos
1677,gvfsd,2021-03-02 21:06:28,4,0.0,sleeping,0,704512,3,ramos
1682,gnome-keyring-daemon,2021-03-02 21:06:28,4,0.0,sleeping,0,0,4,ramos
1683,gvfsd-fuse,2021-03-02 21:06:28,4,0.0,sleeping,0,1650688,8,ramos
1693,gvfs-udisks2-volume-monitor,2021-03-02 21:06:28,4,0.0,sleeping,0,1712128,4,ramos
1701,gvfs-gphoto2-volume-monitor,2021-03-02 21:06:28,4,0.0,sleeping,0,663552,3,ramos
1706,krfcommd,2021-03-02 21:06:28,4,0.0,sleeping,-10,0,1,root
