path,actions,time
/home/ramos/Escritorio/tocar/activitywatch-master/eferg,"['IN_MOVED_FROM', 'IN_ISDIR']",2021-03-31 16:28:10.908731
/home/ramos/Escritorio/tocar/activitywatch-master/eerferf,"['IN_CREATE', 'IN_ISDIR']",2021-03-31 16:28:15.568454
