EventId,EventTemplate,Occurrences
1ddd9183,[<*>] Not a paid data plan: /org/freedesktop/NetworkManager/ActiveConnection/4,1
34e1f32f,[<*>] Found usable connection: /org/freedesktop/NetworkManager/ActiveConnection/4,1
c93dffab,<*> pcieport 0000:00:1c.0: AER: can't find device of ID00e0,107
86d1b403,"message repeated <*> times: [ Server returned error NXDOMAIN, mitigating potential DNS violation DVE-2018-0001, retrying transaction with reduced feature level UDP.]",20
60373bc2,[<*>] online,1
182310ac,[system] Activating via systemd: service <*> <*> requested by <*> <*> <*> <*> <*> <*> <*>,5
b3cb10d9,Starting PackageKit Daemon...,1
0262d0ab,daemon start,1
c7b73736,Started PackageKit Daemon.,1
bb26291f,<info> <*> agent-manager: <*> agent registered,9
3a789173,Window manager warning: Overwriting existing binding of keysym <*> with keysym <*> (keycode <*>,81
53074297,<*> pcieport 0000:00:1c.0: AER: Multiple Corrected error received: 0000:00:1c.0,99
1dad2c1c,NetworkManager-dispatcher.service: Succeeded.,2
bf4c6778,vte-spawn-adcc6fc7-322d-49a8-9afd-d2575c76d1ba.scope: Succeeded.,1
e1c13281,power: got event for guard '3' (10),1
fc66cd73,"power: shutdown scheduled (T-20,00s)",1
cdf27834,refresh-cache transaction <*> from uid 1000 finished with success after <*>,5
56542215,"<*> audit: type=1400 <*> <*> operation=""open"" <*> <*> <*> <*> requested_mask=""r"" denied_mask=""r"" fsuid=1000 <*>",10
8a38b86d,xb_builder_node_unlink: assertion 'XB_IS_BUILDER_NODE (self)' failed,1
d862a31c,"[34701.972679] audit: type=1326 audit(1614422751.416:122): auid=1000 uid=1000 gid=1000 ses=3 subj=snap.snap-store.ubuntu-software pid=1802 comm=""pool-org.gnome."" exe=""/snap/snap-store/518/usr/bin/snap-store"" sig=0 arch=c000003e syscall=93 compat=0 ip=0x7f09f29314e7 code=0x50000",1
38928145,message repeated 80 times: [ xb_builder_node_unlink: assertion 'XB_IS_BUILDER_NODE (self)' failed],1
4e0c994d,debug: running <*> on mounted <*>,13
a82af8d2,debug: /dev/sda1 is a FAT32 partition,1
69a90753,debug: /dev/sda1 partition <*> is <*>,2
32b27d84,debug: running subtest <*>,2
e63c2712,result: Microsoft/Boot/bootmgfw.efi:Windows Boot Manager:Windows,1
e4575d45,debug: bootloader Microsoft/Boot/bootmgfw.efi:Windows Boot Manager:Windows found by subtest /usr/lib/os-probes/mounted/efi/20microsoft,1
b42ffade,result: /dev/sda1@/EFI/Microsoft/Boot/bootmgfw.efi:Windows Boot Manager:Windows:efi,1
259d708d,debug: os detected by /usr/lib/os-probes/mounted/05efi,1
9afe92a0,debug: /dev/sda3 is fuseblk partition: exiting,1
6b323812,debug: /dev/sda3 is not <*> <*> partition: exiting,5
f65c3a0e,debug: Skipping legacy bootloaders on UEFI system,1
6bccae24,"storehelpers.go:551: cannot refresh: snap has no updates available: ""code"", ""core"", ""core18"", ""core20"", ""discord"", ""docker"", ""gnome-3-28-1804"", ""gnome-3-34-1804"", ""gtk-common-themes"", ""htop"", ""snap-store"", ""snapd"", ""spotify""",8
1c5a7f0e,"apparmor=""DENIED"" operation=""dbus_method_call"" bus=""session"" path=""/org/gtk/Notifications"" interface=""org.gtk.Notifications"" member=""RemoveNotification"" mask=""send"" name=""org.gtk.Notifications"" pid=1802 label=""snap.snap-store.ubuntu-software"" peer_pid=1558 peer_label=""unconfined""",5
b88c5070,apt-daily-upgrade.service: Succeeded.,1
e3efe734,Finished Daily apt upgrade and clean activities.,1
23594235,fprintd.service: Succeeded.,13
a97796cf,wlp1s0: WPA: Group rekeying completed with e2:41:36:c8:64:50 [GTK=CCMP],2
7a2e06e6,Job `cron.daily' started,1
ef60eaa5,Updated timestamp for job <*> to 2021-02-27,2
73b0007e,no dictionary update necessary.,1
41b450c5,Job `cron.daily' terminated,1
39cfcc12,daemon quit,1
c2774380,packagekit.service: Succeeded.,1
5cedc2ba,<*> Skia shader compilation error,2
781f5987,------------------------,2
c48c42c9,Errors:,2
5b1f1a91,Starting Hostname Service...,5
3a6c3a0e,Started Hostname Service.,5
e5f06148,Job `cron.weekly' started,1
8389fc6e,Job `cron.weekly' terminated,1
d85c41ef,Normal exit <*> jobs run),4
11dcabae,anacron.service: Killing process 44880 (check-new-relea) with signal SIGKILL.,2
a62dfff6,anacron.service: Succeeded.,4
f9ffc490,Starting Notification regarding a new release of Ubuntu...,1
0259d38b,"[session uid=1000 pid=1323] Activating via systemd: service <*> <*> requested by <*> (uid=1000 <*> <*> "" label=""unconfined"")",155
5ad591ea,Starting Tracker metadata database store and lookup manager...,65
0a35021e,[session uid=1000 pid=1323] Successfully activated service <*>,250
c3d20f15,Started Tracker metadata database store and lookup manager.,65
fe5407c8,Starting Tracker metadata extractor...,88
99dee571,Set scheduler policy to SCHED_IDLE,88
ffe2e390,Setting priority nice level to 19,88
733ede99,Started Tracker metadata extractor.,88
70e66c14,tracker-extract.service: Succeeded.,88
f5951cf6,"/usr/lib/ubuntu-release-upgrader/check-new-release-gtk:30: PyGIWarning: Gtk was imported without specifying a version first. Use gi.require_version('Gtk', '3.0') before import to ensure that the right version gets loaded.",1
3c55f226,from gi.repository import Gtk,1
f9b8206b,"WARNING:root:timeout reached, exiting",1
bb17bfe4,update-notifier-release.service: Succeeded.,1
83ee6db3,Finished Notification regarding a new release of Ubuntu.,1
d46c33c4,systemd-hostnamed.service: Succeeded.,5
e0aa021e,OK,65
d491179d,tracker-store.service: Succeeded.,65
f9da88b9,Started VTE child process <*> launched by gnome-terminal-server process <*>,17
359edf97,vte-spawn-5dd20368-1dc4-4a87-b699-fc716201740d.scope: Succeeded.,1
b4303b27,Window manager warning: Buggy client sent a _NET_ACTIVE_WINDOW message with a timestamp of 0 for <*>,5
f316407c,"[session uid=1000 pid=1323] Activating service name='org.gnome.gedit' requested by ':1.94' (uid=1000 pid=3007 comm=""/usr/bin/nautilus --gapplication-service "" label=""unconfined"")",86
361ec799,"[35841.799683] perf: interrupt took too long (5003 > 4985), lowering kernel.perf_event_max_sample_rate to 39750",1
a46f0aaa,<*> SharedImageManager::ProduceSkia: Trying to Produce a Skia representation from a non-existent mailbox.,11
